id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
383,1,0,6,47,1,2,-1,-1,2
384,1,0,6,18,1,4,-1,-1,0
385,0,1,6,7,-1,18,-1,-1,0
386,1,0,6,45,1,2,-1,-1,2
387,1,0,6,18,1,4,-1,-1,0
388,0,1,6,10,-1,18,-1,-1,0
389,1,0,6,43,1,2,-1,-1,2
390,1,0,6,15,1,4,-1,-1,0
391,0,1,6,16,-1,18,-1,-1,0
392,1,0,6,55,1,2,-1,-1,2
393,0,1,6,8,-1,18,-1,-1,0
394,1,0,6,13,1,4,-1,-1,0
395,1,0,6,13,1,4,-1,-1,0
396,1,0,6,45,1,2,-1,-1,2
397,0,1,6,16,-1,18,-1,-1,0
398,1,0,6,48,1,2,-1,-1,2
399,1,0,6,15,1,4,-1,-1,0
400,0,1,6,9,-1,18,-1,-1,0
401,1,0,6,15,1,4,-1,-1,0
402,1,0,6,48,1,2,-1,-1,2
403,0,1,6,12,-1,18,-1,-1,0
404,1,0,6,61,1,2,-1,-1,2
405,0,1,6,15,-1,18,-1,-1,0
406,1,0,6,17,1,4,-1,-1,0
407,1,0,6,39,1,4,-1,-1,3
408,0,1,6,79,-1,18,-1,-1,0
409,0,1,6,5,-1,18,-1,-1,0
410,0,1,6,2,-1,18,-1,-1,0
411,0,1,6,1,-1,18,-1,-1,0
412,0,1,6,1,-1,18,-1,-1,0
413,0,1,6,1,-1,18,-1,-1,0
414,0,1,6,3,-1,18,-1,-1,0
415,0,1,6,1,-1,18,-1,-1,0
416,0,1,6,2,-1,18,-1,-1,0
417,0,1,6,1,-1,18,-1,-1,0
418,1,0,6,48,1,2,-1,-1,2
419,0,1,6,47,-1,18,-1,-1,0
420,1,0,6,47,1,4,-1,-1,3
421,1,0,6,45,1,2,-1,-1,2
422,0,1,6,45,-1,18,-1,-1,0
423,1,0,6,45,1,4,-1,-1,3
424,1,0,6,68,1,2,-1,-1,2
425,0,1,6,67,-1,18,-1,-1,0
426,1,0,6,67,1,4,-1,-1,3
427,1,0,6,98,1,2,-1,-1,2
428,0,1,6,98,-1,18,-1,-1,0
429,1,0,6,98,1,4,-1,-1,3
430,1,0,6,98,1,2,-1,-1,2
431,0,1,6,98,-1,18,-1,-1,0
432,1,0,6,97,1,4,-1,-1,3
433,1,0,6,100,1,2,-1,-1,2
434,0,1,6,100,-1,18,-1,-1,0
435,1,0,6,99,1,4,-1,-1,3
436,1,0,6,98,1,2,-1,-1,2
437,0,1,6,97,-1,18,-1,-1,0
438,1,0,6,97,1,4,-1,-1,3
439,0,1,6,100,-1,18,-1,-1,0
440,1,0,6,100,1,4,-1,-1,3
441,1,0,6,99,1,2,-1,-1,2
442,1,0,6,100,1,2,-1,-1,2
443,0,1,6,100,-1,18,-1,-1,0
444,1,0,6,100,1,4,-1,-1,3
445,1,0,6,99,1,2,-1,-1,2
446,0,1,6,99,-1,18,-1,-1,0
447,1,0,6,98,1,4,-1,-1,3
448,1,0,6,99,1,2,-1,-1,2
449,0,1,6,99,-1,18,-1,-1,0
450,1,0,6,99,1,4,-1,-1,3
451,1,0,6,100,1,2,-1,-1,2
452,0,1,6,100,-1,18,-1,-1,0
453,1,0,6,100,1,4,-1,-1,3
454,1,0,6,97,1,2,-1,-1,2
455,0,1,6,97,-1,18,-1,-1,0
456,1,0,6,97,1,4,-1,-1,3
457,1,0,6,101,1,2,-1,-1,2
458,0,1,6,100,-1,18,-1,-1,0
459,1,0,6,100,1,4,-1,-1,3
460,1,0,6,101,1,2,-1,-1,2
461,0,1,6,101,-1,18,-1,-1,0
462,1,0,6,100,1,4,-1,-1,3
463,1,0,6,101,1,2,-1,-1,2
464,0,1,6,100,-1,18,-1,-1,0
465,1,0,6,100,1,4,-1,-1,3
466,1,0,6,101,1,2,-1,-1,2
467,0,1,6,101,-1,18,-1,-1,0
468,1,0,6,100,1,4,-1,-1,3
469,1,0,6,101,1,2,-1,-1,2
470,0,1,6,101,-1,18,-1,-1,0
471,1,0,6,101,1,4,-1,-1,3
472,1,0,6,103,1,2,-1,-1,2
473,0,1,6,103,-1,18,-1,-1,0
474,1,0,6,102,1,4,-1,-1,3
475,1,0,6,99,1,2,-1,-1,2
476,0,1,6,99,-1,18,-1,-1,0
477,1,0,6,99,1,4,-1,-1,3
478,1,0,6,100,1,2,-1,-1,2
479,0,1,6,100,-1,18,-1,-1,0
480,1,0,6,99,1,4,-1,-1,3
481,1,0,6,100,1,2,-1,-1,2
482,0,1,6,100,-1,18,-1,-1,0
483,1,0,6,100,1,4,-1,-1,3
484,1,0,6,102,1,2,-1,-1,2
485,0,1,6,101,-1,18,-1,-1,0
486,1,0,6,101,1,4,-1,-1,3
487,1,0,6,83,1,2,-1,-1,2
488,0,1,6,83,-1,18,-1,-1,0
489,1,0,6,83,1,4,-1,-1,3
490,1,0,6,76,1,2,-1,-1,2
491,0,1,6,75,-1,18,-1,-1,0
492,1,0,6,75,1,4,-1,-1,3
493,1,0,6,129,1,2,-1,-1,2
494,0,1,6,129,-1,18,-1,-1,0
495,1,0,6,129,1,4,-1,-1,3
496,1,0,6,126,1,2,-1,-1,2
497,0,1,6,126,-1,18,-1,-1,0
498,1,0,6,125,1,4,-1,-1,3
499,1,0,6,127,1,2,-1,-1,2
500,0,1,6,127,-1,18,-1,-1,0
501,1,0,6,126,1,4,-1,-1,3
