id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
514,0,1,1,27,-1,-1,0,-1,0
515,1,0,1,22,-1,-1,8,-1,1
516,0,1,1,22,-1,-1,0,-1,0
517,1,0,1,27,-1,-1,8,-1,1
518,0,1,1,27,-1,-1,0,-1,0
519,1,0,1,5,-1,-1,8,-1,0
520,0,1,1,5,-1,-1,0,-1,0
521,1,0,1,316,-1,-1,8,-1,1
522,0,1,1,316,-1,-1,0,-1,0
523,1,0,1,218,-1,-1,8,-1,1
524,0,1,1,217,-1,-1,0,-1,0
525,0,1,1,222,-1,-1,0,-1,0
526,1,0,1,221,-1,-1,8,-1,1
527,0,1,1,221,-1,-1,0,-1,0
528,1,0,1,220,-1,-1,8,-1,1
529,1,0,1,224,-1,-1,8,-1,1
530,0,1,1,223,-1,-1,0,-1,0
531,1,0,1,214,-1,-1,8,-1,1
532,0,1,1,213,-1,-1,0,-1,0
533,0,1,1,212,-1,-1,0,-1,0
534,1,0,1,211,-1,-1,8,-1,1
535,1,0,1,212,-1,-1,8,-1,1
536,0,1,1,211,-1,-1,0,-1,0
537,0,1,1,222,-1,-1,0,-1,0
538,1,0,1,221,-1,-1,8,-1,1
539,0,1,1,221,-1,-1,0,-1,0
540,1,0,1,220,-1,-1,8,-1,1
541,0,1,1,217,-1,-1,0,-1,0
542,1,0,1,216,-1,-1,8,-1,1
543,0,1,1,214,-1,-1,0,-1,0
544,1,0,1,213,-1,-1,8,-1,1
545,1,0,1,220,-1,-1,8,-1,1
546,0,1,1,219,-1,-1,0,-1,0
547,1,0,1,218,-1,-1,8,-1,1
548,0,1,1,217,-1,-1,0,-1,0
549,0,1,1,226,-1,-1,0,-1,0
550,1,0,1,225,-1,-1,8,-1,1
551,0,1,1,219,-1,-1,0,-1,0
552,1,0,1,217,-1,-1,8,-1,1
553,0,1,1,222,-1,-1,0,-1,0
554,1,0,1,221,-1,-1,8,-1,1
555,1,0,1,221,-1,-1,8,-1,1
556,0,1,1,220,-1,-1,0,-1,0
557,1,0,1,217,-1,-1,8,-1,1
558,0,1,1,217,-1,-1,0,-1,0
559,0,1,1,220,-1,-1,0,-1,0
560,1,0,1,219,-1,-1,8,-1,1
561,1,0,1,225,-1,-1,8,-1,1
562,0,1,1,225,-1,-1,0,-1,0
563,0,1,1,228,-1,-1,0,-1,0
564,1,0,1,228,-1,-1,8,-1,1
565,1,0,1,225,-1,-1,8,-1,1
566,0,1,1,225,-1,-1,0,-1,0
567,1,0,1,221,-1,-1,8,-1,1
568,0,1,1,221,-1,-1,0,-1,0
569,1,0,1,219,-1,-1,8,-1,1
570,0,1,1,218,-1,-1,0,-1,0
571,0,1,1,219,-1,-1,0,-1,0
572,1,0,1,217,-1,-1,8,-1,1
573,0,1,1,222,-1,-1,0,-1,0
574,1,0,1,221,-1,-1,8,-1,1
575,1,0,1,224,-1,-1,8,-1,1
576,0,1,1,223,-1,-1,0,-1,0
577,1,0,1,219,-1,-1,8,-1,1
578,0,1,1,218,-1,-1,0,-1,0
579,0,1,1,216,-1,-1,0,-1,0
580,1,0,1,216,-1,-1,8,-1,1
581,1,0,1,214,-1,-1,8,-1,1
582,0,1,1,213,-1,-1,0,-1,0
583,0,1,1,223,-1,-1,0,-1,0
584,1,0,1,222,-1,-1,8,-1,1
585,0,1,1,223,-1,-1,0,-1,0
586,1,0,1,221,-1,-1,8,-1,1
587,1,0,1,221,-1,-1,8,-1,1
588,0,1,1,221,-1,-1,0,-1,0
589,1,0,1,222,-1,-1,8,-1,1
590,0,1,1,220,-1,-1,0,-1,0
591,1,0,1,221,-1,-1,8,-1,1
592,0,1,1,220,-1,-1,0,-1,0
593,1,0,1,223,-1,-1,8,-1,1
594,0,1,1,221,-1,-1,0,-1,0
595,0,1,1,215,-1,-1,0,-1,0
596,1,0,1,214,-1,-1,8,-1,1
597,1,0,1,223,-1,-1,8,-1,1
598,0,1,1,222,-1,-1,0,-1,0
599,1,0,1,226,-1,-1,8,-1,1
600,0,1,1,226,-1,-1,0,-1,0
601,0,1,1,220,-1,-1,0,-1,0
602,1,0,1,218,-1,-1,8,-1,1
603,1,0,1,222,-1,-1,8,-1,1
604,0,1,1,221,-1,-1,0,-1,0
