protocal,count,port,flag,type,srcip,attack
6,1,54290,16,-1,-1,0
6,1,52558,16,-1,-1,0
17,151,51018,-1,-1,-1,0
6,1,54292,16,-1,-1,0
6,2,443,16,-1,-1,0
6,5,80,16,-1,-1,0
6,1,52540,16,-1,-1,0
6,1,52556,16,-1,-1,0
17,58,35623,-1,-1,-1,0
17,75,51018,-1,-1,-1,0
17,75,51018,-1,-1,-1,0
17,59,35623,-1,-1,-1,0
17,147,51018,-1,-1,-1,0
17,111,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,66,35623,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
6,1,35408,24,-1,-1,0
17,64,35623,-1,-1,-1,0
6,1,443,24,-1,-1,0
17,73,51018,-1,-1,-1,0
6,1,35408,16,-1,-1,0
6,1,443,16,-1,-1,0
17,65,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
17,90,51018,-1,-1,-1,0
17,59,35623,-1,-1,-1,0
17,53,35623,-1,-1,-1,0
6,1,54290,16,-1,-1,0
17,71,51018,-1,-1,-1,0
6,1,54292,16,-1,-1,0
6,2,443,16,-1,-1,0
17,74,51018,-1,-1,-1,0
6,1,52540,16,-1,-1,0
6,1,52542,16,-1,-1,0
17,52,35623,-1,-1,-1,0
6,1,52560,16,-1,-1,0
6,1,52558,16,-1,-1,0
6,5,80,16,-1,-1,0
6,1,52556,16,-1,-1,0
17,72,51018,-1,-1,-1,0
6,7,33962,24,-1,-1,0
6,1,443,24,-1,-1,0
6,9,443,16,-1,-1,0
17,4,38148,-1,-1,-1,0
17,4,53,-1,-1,-1,0
17,60,35623,-1,-1,-1,0
6,3,33962,16,-1,-1,0
17,2,53,-1,-1,-1,0
17,2,42299,-1,-1,-1,0
17,79,51018,-1,-1,-1,0
17,66,35623,-1,-1,-1,0
17,69,51018,-1,-1,-1,0
6,2,443,17,-1,-1,0
6,2,54292,16,-1,-1,0
6,2,443,24,-1,-1,0
6,1,54290,25,-1,-1,0
6,1,52542,16,-1,-1,0
17,52,35623,-1,-1,-1,0
6,1,54292,25,-1,-1,0
6,1,52542,25,-1,-1,0
6,1,80,17,-1,-1,0
6,2,54290,16,-1,-1,0
6,1,80,16,-1,-1,0
6,2,443,4,-1,-1,0
17,71,51018,-1,-1,-1,0
6,1,52540,16,-1,-1,0
6,1,52560,25,-1,-1,0
6,4,80,16,-1,-1,0
6,1,52558,25,-1,-1,0
6,1,52556,25,-1,-1,0
17,57,35623,-1,-1,-1,0
6,4,80,17,-1,-1,0
6,1,52558,16,-1,-1,0
6,1,52540,25,-1,-1,0
6,1,52560,16,-1,-1,0
6,1,52556,16,-1,-1,0
17,85,51018,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
17,70,51018,-1,-1,-1,0
6,1,443,2,-1,-1,0
6,4,443,16,-1,-1,0
17,5,53,-1,-1,-1,0
6,4,33140,24,-1,-1,0
6,1,53652,18,-1,-1,0
6,1,52580,16,-1,-1,0
6,4,33140,16,-1,-1,0
6,1,80,16,-1,-1,0
6,1,33140,18,-1,-1,0
6,1,52580,18,-1,-1,0
17,5,42299,-1,-1,-1,0
6,1,80,2,-1,-1,0
6,1,53652,24,-1,-1,0
6,2,443,24,-1,-1,0
6,6,443,16,-1,-1,0
6,1,80,24,-1,-1,0
6,3,443,24,-1,-1,0
6,1,443,2,-1,-1,0
17,10,53,-1,-1,-1,0
17,55,35623,-1,-1,-1,0
17,4,58457,-1,-1,-1,0
17,2,47096,-1,-1,-1,0
6,4,53652,16,-1,-1,0
17,4,55831,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
6,2,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,3,443,24,-1,-1,0
6,1,52580,16,-1,-1,0
6,2,80,16,-1,-1,0
6,1,52580,18,-1,-1,0
6,3,443,16,-1,-1,0
6,1,53652,16,-1,-1,0
17,4,49861,-1,-1,-1,0
6,1,80,2,-1,-1,0
6,3,55030,16,-1,-1,0
6,2,53652,24,-1,-1,0
6,1,443,24,-1,-1,0
6,1,80,24,-1,-1,0
17,4,53,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
6,3,55030,24,-1,-1,0
17,2,47096,-1,-1,-1,0
17,2,42299,-1,-1,-1,0
6,1,52580,24,-1,-1,0
17,78,51018,-1,-1,-1,0
6,2,443,24,-1,-1,0
6,4,443,16,-1,-1,0
6,2,55030,16,-1,-1,0
17,60,35623,-1,-1,-1,0
6,4,55030,24,-1,-1,0
17,76,51018,-1,-1,-1,0
17,55,35623,-1,-1,-1,0
17,68,51018,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
17,81,51018,-1,-1,-1,0
17,58,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,69,51018,-1,-1,-1,0
17,58,35623,-1,-1,-1,0
17,77,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,71,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,78,51018,-1,-1,-1,0
6,1,33140,16,-1,-1,0
6,1,443,16,-1,-1,0
17,56,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
6,1,443,16,-1,-1,0
6,1,52580,16,-1,-1,0
6,1,80,16,-1,-1,0
6,1,53652,16,-1,-1,0
17,56,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
17,55,35623,-1,-1,-1,0
17,76,51018,-1,-1,-1,0
6,1,55028,24,-1,-1,0
6,1,443,24,-1,-1,0
6,1,443,16,-1,-1,0
6,1,55028,16,-1,-1,0
17,61,35623,-1,-1,-1,0
17,64,51018,-1,-1,-1,0
6,1,443,24,-1,-1,0
6,4,33962,24,-1,-1,0
6,1,33962,16,-1,-1,0
6,4,443,16,-1,-1,0
17,54,35623,-1,-1,-1,0
17,66,51018,-1,-1,-1,0
6,2,33962,24,-1,-1,0
6,2,443,16,-1,-1,0
17,59,35623,-1,-1,-1,0
17,68,51018,-1,-1,-1,0
17,54,35623,-1,-1,-1,0
17,65,51018,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
17,55,35623,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
17,66,51018,-1,-1,-1,0
6,1,33140,16,-1,-1,0
6,1,443,16,-1,-1,0
17,54,35623,-1,-1,-1,0
17,78,51018,-1,-1,-1,0
6,1,443,16,-1,-1,0
6,3,443,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,1,52580,16,-1,-1,0
6,1,80,16,-1,-1,0
6,3,41028,24,-1,-1,0
6,1,53652,16,-1,-1,0
17,4,53,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
6,2,443,24,-1,-1,0
6,2,41028,16,-1,-1,0
17,4,43365,-1,-1,-1,0
17,2,42299,-1,-1,-1,0
17,75,51018,-1,-1,-1,0
17,54,35623,-1,-1,-1,0
17,77,51018,-1,-1,-1,0
17,58,35623,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
17,58,35623,-1,-1,-1,0
17,69,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,81,51018,-1,-1,-1,0
17,52,35623,-1,-1,-1,0
17,75,51018,-1,-1,-1,0
17,57,35623,-1,-1,-1,0
17,74,51018,-1,-1,-1,0
17,55,35623,-1,-1,-1,0
17,65,51018,-1,-1,-1,0
17,58,35623,-1,-1,-1,0
17,81,51018,-1,-1,-1,0
6,1,55978,16,-1,-1,0
6,1,9001,17,-1,-1,0
17,57,35623,-1,-1,-1,0
6,1,8181,2,-1,-1,0
17,75,51018,-1,-1,-1,0
6,1,443,16,-1,-1,0
6,1,37038,18,-1,-1,0
6,1,52580,16,-1,-1,0
6,1,33140,16,-1,-1,0
6,1,80,16,-1,-1,0
6,1,53652,16,-1,-1,0
6,1,443,16,-1,-1,0
6,1,8181,24,-1,-1,0
17,56,35623,-1,-1,-1,0
6,1,8181,16,-1,-1,0
6,1,37038,16,-1,-1,0
17,76,51018,-1,-1,-1,0
17,56,35623,-1,-1,-1,0
17,73,51018,-1,-1,-1,0
6,1,443,17,-1,-1,0
17,56,35623,-1,-1,-1,0
6,1,56902,16,-1,-1,0
17,77,51018,-1,-1,-1,0
6,1,443,2,-1,-1,0
17,58,35623,-1,-1,-1,0
17,75,51018,-1,-1,-1,0
17,4,59861,-1,-1,-1,0
6,1,56966,16,-1,-1,0
17,2,53,-1,-1,-1,0
6,1,56966,18,-1,-1,0
6,2,41028,24,-1,-1,0
17,2,42299,-1,-1,-1,0
6,2,443,16,-1,-1,0
6,1,443,16,-1,-1,0
17,4,53,-1,-1,-1,0
