protocal,count,port,flag,type,attack,srcip
6,2,443,24,-1,0,-1
6,48,443,16,-1,0,-1
6,2,443,16,-1,0,-1
6,4,55944,24,-1,0,-1
6,8,37646,24,-1,0,-1
6,6,443,16,-1,0,-1
6,3,55944,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,443,16,-1,0,-1
6,35,44790,24,-1,0,-1
6,6,37646,16,-1,0,-1
6,1,43290,24,-1,0,-1
6,167,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,1,37646,18,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,3,34490,24,-1,0,-1
17,4,39515,-1,-1,0,-1
6,2,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
6,1,80,16,-1,0,-1
17,4,53,-1,-1,0,-1
6,16,443,24,-1,0,-1
6,2,443,2,-1,0,-1
6,1,43296,24,-1,0,-1
6,69,443,16,-1,0,-1
6,68,43350,16,-1,0,-1
6,1,43272,16,-1,0,-1
6,1,43352,18,-1,0,-1
6,47,44790,24,-1,0,-1
6,197,44790,16,-1,0,-1
6,1,43272,24,-1,0,-1
17,2,56953,-1,-1,0,-1
17,2,53,-1,-1,0,-1
6,2,80,24,-1,0,-1
17,4,35171,-1,-1,0,-1
6,14,43352,24,-1,0,-1
6,15,43350,24,-1,0,-1
6,1,43296,16,-1,0,-1
6,63,43352,16,-1,0,-1
6,129,443,16,-1,0,-1
6,1,43294,16,-1,0,-1
6,6,443,24,-1,0,-1
6,1,43350,18,-1,0,-1
6,3,80,16,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,2,443,2,-1,0,-1
6,1,43296,24,-1,0,-1
6,68,43350,16,-1,0,-1
6,1,43272,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,9001,2,-1,0,-1
6,1,43352,18,-1,0,-1
6,1,53114,16,-1,0,-1
6,1,43272,24,-1,0,-1
17,2,56953,-1,-1,0,-1
6,1,80,16,-1,0,-1
17,2,53,-1,-1,0,-1
6,2,80,24,-1,0,-1
17,4,35171,-1,-1,0,-1
6,14,43352,24,-1,0,-1
6,15,43350,24,-1,0,-1
6,1,43296,16,-1,0,-1
6,63,43352,16,-1,0,-1
6,129,443,16,-1,0,-1
6,1,43294,16,-1,0,-1
6,6,443,24,-1,0,-1
6,1,43350,18,-1,0,-1
6,3,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,1,42754,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,9001,24,-1,0,-1
6,1,9001,2,-1,0,-1
6,1,47408,16,-1,0,-1
6,1,53114,16,-1,0,-1
6,1,9001,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,42754,18,-1,0,-1
6,1,56936,24,-1,0,-1
6,1,42754,16,-1,0,-1
6,1,9001,24,-1,0,-1
6,1,47408,16,-1,0,-1
6,1,9001,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,42754,18,-1,0,-1
6,1,42754,16,-1,0,-1
6,1,9001,24,-1,0,-1
6,1,47408,16,-1,0,-1
6,1,9001,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,42754,18,-1,0,-1
6,1,42754,16,-1,0,-1
6,1,9001,24,-1,0,-1
6,1,47408,16,-1,0,-1
6,1,9001,16,-1,0,-1
17,1,123,-1,-1,0,-1
6,1,80,16,-1,0,-1
6,1,42754,18,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,443,2,-1,0,-1
17,4,60526,-1,-1,0,-1
17,1,49739,-1,-1,0,-1
17,2,56953,-1,-1,0,-1
17,1,123,-1,-1,0,-1
17,2,53,-1,-1,0,-1
17,8,53,-1,-1,0,-1
6,2,443,24,-1,0,-1
6,16,443,16,-1,0,-1
6,1,53116,18,-1,0,-1
6,1,443,24,-1,0,-1
6,10,443,16,-1,0,-1
6,4,53116,16,-1,0,-1
6,2,443,2,-1,0,-1
6,3,33552,16,-1,0,-1
6,1,53114,18,-1,0,-1
6,12,443,16,-1,0,-1
6,1,33552,18,-1,0,-1
6,50,43350,16,-1,0,-1
6,1,33550,18,-1,0,-1
6,1,443,16,-1,0,-1
17,4,60526,-1,-1,0,-1
6,8,33550,24,-1,0,-1
6,7,33550,16,-1,0,-1
6,5,53114,24,-1,0,-1
6,4,33552,24,-1,0,-1
6,6,443,24,-1,0,-1
6,1,443,17,-1,0,-1
6,3,53114,16,-1,0,-1
6,11,44790,24,-1,0,-1
17,1,49739,-1,-1,0,-1
6,6,443,24,-1,0,-1
6,32,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
6,1,56936,16,-1,0,-1
6,4,53116,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,13,43350,24,-1,0,-1
6,2,43292,16,-1,0,-1
6,1,43292,24,-1,0,-1
6,62,443,16,-1,0,-1
6,1,443,24,-1,0,-1
17,4,33287,-1,-1,0,-1
6,2,443,2,-1,0,-1
6,2,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,43290,16,-1,0,-1
6,49,43350,16,-1,0,-1
6,1,443,17,-1,0,-1
6,1,33550,20,-1,0,-1
6,1,43352,24,-1,0,-1
6,15,43350,24,-1,0,-1
6,2,43352,16,-1,0,-1
6,64,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,3,443,24,-1,0,-1
6,1,34490,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,443,16,-1,0,-1
6,3,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,3,54306,24,-1,0,-1
6,1,443,16,-1,0,-1
6,5,443,16,-1,0,-1
6,2,54752,16,-1,0,-1
6,4,34490,24,-1,0,-1
6,1,443,24,-1,0,-1
6,1,34490,16,-1,0,-1
6,4,54306,16,-1,0,-1
6,2,443,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,11,443,24,-1,0,-1
17,4,39489,-1,-1,0,-1
6,54,443,16,-1,0,-1
6,1,443,16,-1,0,-1
6,8,443,16,-1,0,-1
6,41,43350,16,-1,0,-1
6,1,43272,16,-1,0,-1
6,3,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,3,54306,24,-1,0,-1
6,1,443,16,-1,0,-1
6,5,443,16,-1,0,-1
6,15,44790,24,-1,0,-1
6,17,44790,16,-1,0,-1
17,2,56953,-1,-1,0,-1
17,2,53,-1,-1,0,-1
6,12,43352,24,-1,0,-1
6,2,54752,16,-1,0,-1
6,10,43350,24,-1,0,-1
6,1,43296,16,-1,0,-1
6,39,43352,16,-1,0,-1
6,4,34490,24,-1,0,-1
6,1,43294,16,-1,0,-1
6,1,443,24,-1,0,-1
6,2,443,24,-1,0,-1
6,1,34490,16,-1,0,-1
6,4,54306,16,-1,0,-1
6,2,443,24,-1,0,-1
6,3,80,16,-1,0,-1
17,8,53,-1,-1,0,-1
6,18,443,24,-1,0,-1
6,5,34516,16,-1,0,-1
6,61,443,16,-1,0,-1
6,1,443,2,-1,0,-1
17,4,39489,-1,-1,0,-1
6,54,443,16,-1,0,-1
6,2,443,24,-1,0,-1
6,28,443,16,-1,0,-1
6,41,43350,16,-1,0,-1
6,2,443,4,-1,0,-1
6,1,43272,16,-1,0,-1
17,4,50248,-1,-1,0,-1
6,12,53114,24,-1,0,-1
6,2,41754,16,-1,0,-1
6,5,34516,24,-1,0,-1
6,2,443,24,-1,0,-1
6,6,443,16,-1,0,-1
6,39,53114,16,-1,0,-1
6,35,44790,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,41754,24,-1,0,-1
6,1,443,17,-1,0,-1
6,1,34516,25,-1,0,-1
6,65,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
6,1,80,16,-1,0,-1
6,49,53116,16,-1,0,-1
6,23,53116,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,1,34516,18,-1,0,-1
6,12,43352,24,-1,0,-1
6,10,43350,24,-1,0,-1
6,1,43296,16,-1,0,-1
6,39,43352,16,-1,0,-1
6,6,34490,24,-1,0,-1
6,1,43294,16,-1,0,-1
6,8,443,24,-1,0,-1
6,2,443,24,-1,0,-1
6,4,34490,16,-1,0,-1
6,3,80,16,-1,0,-1
6,5,34516,16,-1,0,-1
6,61,443,16,-1,0,-1
6,1,443,2,-1,0,-1
6,30,443,16,-1,0,-1
6,2,443,24,-1,0,-1
6,44,43350,16,-1,0,-1
6,2,443,4,-1,0,-1
17,4,50248,-1,-1,0,-1
6,12,53114,24,-1,0,-1
6,2,41754,16,-1,0,-1
6,5,34516,24,-1,0,-1
6,2,443,24,-1,0,-1
6,6,443,16,-1,0,-1
6,39,53114,16,-1,0,-1
6,1,443,16,-1,0,-1
6,1,41754,24,-1,0,-1
6,1,443,17,-1,0,-1
6,1,34516,25,-1,0,-1
6,1,80,16,-1,0,-1
6,49,53116,16,-1,0,-1
6,23,53116,24,-1,0,-1
6,1,34516,18,-1,0,-1
6,15,43350,24,-1,0,-1
